"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:47v4uUtj5AukJmCbMq4Kry","Freeze Tag (feat. Phoelix)","spotify:artist:7MNEVabc4cs19CbzAFZmXz, spotify:artist:5cM1PvItlR21WUyBnsdMcn, spotify:artist:4s8ZGMVf3OiPktSP4ulpqU, spotify:artist:6HQYnRM4OzToCYPpVBInuU, spotify:artist:6p70iKebfMSl8zbkiEwOtS, spotify:artist:2TKC2gVUNBUAlFqfLUoaj0","Terrace Martin, Robert Glasper, 9th Wonder, Kamasi Washington, Dinner Party, Phoelix","spotify:album:4Wq9dC08uEtSuGc8mFwC3r","Dinner Party","spotify:artist:7MNEVabc4cs19CbzAFZmXz, spotify:artist:5cM1PvItlR21WUyBnsdMcn, spotify:artist:4s8ZGMVf3OiPktSP4ulpqU","Terrace Martin, Robert Glasper, 9th Wonder","2020-07-10","https://i.scdn.co/image/ab67616d0000b2735557786a9c1b65b81c018551","1","6","191936","https://p.scdn.co/mp3-preview/05a06ab220f7f0a1ba71a06d466a69a03ea91f42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:rileybrady0","2021-09-27T18:00:03Z"
"spotify:track:6g3IWdT5DBpfwN4yHwjAUl","Back Seat (Wit No Sheets)","spotify:artist:21gGD9dUby5ls0belA1wqZ","H-Town","spotify:album:0iarsNqlfV4gXmTu6kr26k","Beggin After Dark","spotify:artist:21gGD9dUby5ls0belA1wqZ","H-Town","1994-01-21","https://i.scdn.co/image/ab67616d0000b273d10a4fb17a6c5a3c3139f84e","1","10","285100","https://p.scdn.co/mp3-preview/7791f54eb37df905bc4219afa6abf070f566adc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:rileybrady0","2021-09-27T18:06:59Z"
"spotify:track:1PrVLmXkJjh2vEhmBEKLeM","Dragonball Durag - Remix","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:0NcPKaSNIHAM2RfioH9vMT","Thundercat, Smino, Guapdad 4000","spotify:album:4pjJMjf9P4ZrRoGuGrdUQg","Dragonball Durag (Remix)","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:0NcPKaSNIHAM2RfioH9vMT","Thundercat, Smino, Guapdad 4000","2020-08-25","https://i.scdn.co/image/ab67616d0000b27308786a4c223448d6840bed5d","1","1","221098","https://p.scdn.co/mp3-preview/a7f2087178f821c9ad84f74984efc7fb3be7ef36?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:rileybrady0","2021-09-27T19:29:10Z"
"spotify:track:2jzNzQibsiVIBPTeJsifby","ALLSTAR","spotify:artist:7cIx4IDh0zLqXBxuNSqFNq, spotify:artist:4596e2d3KmYzAeVenjCxfj","Rae Khalil, Free Nationals","spotify:album:4qjamshmT7gedEq6uGHXLr","FORTHEWORLD","spotify:artist:7cIx4IDh0zLqXBxuNSqFNq","Rae Khalil","2020-06-09","https://i.scdn.co/image/ab67616d0000b2739e22cb54031d665358c919a6","1","6","174230","https://p.scdn.co/mp3-preview/9ef781cdac0458fe19873dcdf474adb03f2326d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:rileybrady0","2021-09-27T19:30:29Z"
"spotify:track:1iGOI54dl6Ps1kYlSpPZzg","Overseas","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:1UH80jhsYsFztK0anu2FNS","Thundercat, Zack Fox","spotify:album:59GRmAvlGs7KjLizFnV7Y9","It Is What It Is","spotify:artist:4frXpPxQQZwbCu3eTGnZEw","Thundercat","2020-04-03","https://i.scdn.co/image/ab67616d0000b27323fb02f383f3bef16ab9d092","1","8","88453","https://p.scdn.co/mp3-preview/a6779df3ca24a8fc00bc443873d64a5e87fd1aee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:rileybrady0","2021-09-27T19:30:50Z"
"spotify:track:7Bar1kLTmsRmH6FCKKMEyU","Hit Different","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:0KuF7reCTOZwV7YJnHQqgr, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign","spotify:album:4xmJCh7ct63QvQ5wRc44db","Hit Different","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2020-09-04","https://i.scdn.co/image/ab67616d0000b273a135dd969dce9f38ed32ef98","1","1","202007","https://p.scdn.co/mp3-preview/bcdf84102fae1f18f87c7c400e212a596839c6eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:rileybrady0","2021-09-27T19:32:18Z"
"spotify:track:18kV8FzhGXE6XndMdiv4Ox","Running Outta Love (feat. Tori Kelly)","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:1vSN1fsvrzpbttOYGsliDr","Jacob Collier, Tori Kelly","spotify:album:33cj3kzLqVOg9zvy69Wrc8","Djesse Vol. 3","spotify:artist:0QWrMNukfcVOmgEU0FEDyD","Jacob Collier","2020-08-14","https://i.scdn.co/image/ab67616d0000b27334de228d223a20a8a5d1f465","1","9","265586","https://p.scdn.co/mp3-preview/2dd150cbb38c07442d35115165b8b717f2da0ca7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:rileybrady0","2021-09-27T19:32:49Z"
"spotify:track:2liDEMyPVzDDLXKUnyiznA","Can You Get to That","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","spotify:album:5p9GTYAPSgc5C1ck9ZbnMk","Maggot Brain","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","1971-07-12","https://i.scdn.co/image/ab67616d0000b2735f65081f7b44af5de6f3d6a0","1","2","171560","","false","1","spotify:user:rileybrady0","2021-09-27T19:33:17Z"
"spotify:track:7hGlI6hbIMilmP4szdfRqa","A Piper For Janet","spotify:artist:1RKG6WXRzmTJtbLRZTPU0T","Cosmo Pyke","spotify:album:0snEL2LIY3LYVkv5U8uiwx","A Piper For Janet","spotify:artist:1RKG6WXRzmTJtbLRZTPU0T","Cosmo Pyke","2020-11-27","https://i.scdn.co/image/ab67616d0000b273fa5a0dbd64e9fcb9fd71d1ca","1","1","279754","https://p.scdn.co/mp3-preview/9c4212c4d886d2846b5c086fad5170194107520d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:rileybrady0","2021-09-27T19:33:51Z"
"spotify:track:124y2S8K9o7dDkgA29q6eX","Wait","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:4RLVTxnuVN5ZWZqBFnaaQt","I Am","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1979-06","https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988","1","7","219320","https://p.scdn.co/mp3-preview/c2f059365c9b2c7f2027b590fa5165ab4d009eaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:rileybrady0","2021-09-27T19:34:20Z"
