year,month,month_series,barrels_purchased,total_value,unit_price,cpi
1973,1,1,102750,282153,2.75,42.6
1973,2,2,95276,259675,2.73,42.9
1973,3,3,112053,316283,2.82,43.3
1973,4,4,98841,279958,2.83,43.6
1973,5,5,123102,357042,2.9,43.9
1973,6,6,118152,360020,3.05,44.2
1973,7,7,101752,320591,3.15,44.3
1973,8,8,148219,483085,3.26,45.1
1973,9,9,124966,421856,3.38,45.2
1973,10,10,134741,476763,3.54,45.6
1973,11,11,132168,503245,3.81,45.9
1973,12,12,100950,532182,5.27,46.2
1974,1,13,96418,647074,6.71,46.6
1974,2,14,86891,789458,9.09,47.2
1974,3,15,89796,994712,11.08,47.8
1974,4,16,119663,1424738,11.91,48
1974,5,17,130539,1541564,11.81,48.6
1974,6,18,120851,1426809,11.81,49
1974,7,19,145422,1758377,12.09,49.4
1974,8,20,150583,1800085,11.95,50
1974,9,21,127054,1483000,11.67,50.6
1974,10,22,137473,1594167,11.6,51.1
1974,11,23,127094,1487700,11.71,51.5
1974,12,24,132080,1534900,11.62,51.9
1975,1,25,188311,2192708,11.64,52.1
1975,2,26,107487,1253734,11.66,52.5
1975,3,27,84669,987684,11.67,52.7
1975,4,28,149184,1743435,11.69,52.9
1975,5,29,121026,1401287,11.58,53.2
1975,6,30,81073,924485,11.4,53.6
1975,7,31,132947,1521048,11.44,54.2
1975,8,32,141294,1608249,11.38,54.3
1975,9,33,155077,1754546,11.31,54.6
1975,10,34,145154,1662646,11.45,54.9
1975,11,35,127094,1491140,11.73,55.3
1975,12,36,151414,1833427,12.11,55.5
1976,1,37,167858,2052102,12.23,55.6
1976,2,38,127070,1574206,12.39,55.8
1976,3,39,154692,1908892,12.34,55.9
1976,4,40,170905,2123327,12.42,56.1
1976,5,41,127751,1580460,12.37,56.5
1976,6,42,173795,2149062,12.37,56.8
1976,7,43,190181,2357060,12.39,57.1
1976,8,44,198417,2466075,12.43,57.4
1976,9,45,183018,2283758,12.48,57.6
1976,10,46,171608,2136874,12.45,57.9
1976,11,47,188087,2366629,12.58,58
1976,12,48,197042,2481438,12.59,58.2
1977,1,49,208788,2618517,12.54,58.5
1977,2,50,178111,2316637,13.01,59.1
1977,3,51,236455,3147769,13.31,59.5
1977,4,52,233219,3136534,13.45,60
1977,5,53,188106,2497719,13.28,60.3
1977,6,54,238876,3196612,13.38,60.7
1977,7,55,205148,2740322,13.36,61
1977,8,56,214727,2878105,13.4,61.2
1977,9,57,213428,2878898,13.49,61.4
1977,10,58,195128,2627735,13.47,61.6
1977,11,59,206047,2805396,13.62,61.9
1977,12,60,201773,2738332,13.57,62.1
1978,1,61,192772,2620138,13.59,62.5
1978,2,62,198230,2673110,13.48,62.9
1978,3,63,181172,2441007,13.47,63.4
1978,4,64,189079,2547261,13.47,63.9
1978,5,65,179073,2392135,13.36,64.5
