state,pop2021
California,39237836
Texas,29527941
Florida,21781128
New York,19835913
Pennsylvania,12964056
Illinois,12671469
Ohio,11780017
Georgia,10799566
North Carolina,10551162
Michigan,10050811
New Jersey,9267130
Virginia,8642274
Washington,7738692
Arizona,7276316
Massachusetts,6984723
Tennessee,6975218
Indiana,6805985
Missouri,6168187
Maryland,6165129
Wisconsin,5895908
Colorado,5812069
Minnesota,5707390
South Carolina,5190705
Alabama,5039877
Louisiana,4624047
Kentucky,4509394
Oregon,4246155
Oklahoma,3986639
Connecticut,3605597
Utah,3337975
Iowa,3193079
Nevada,3143991
Arkansas,3025891
Mississippi,2949968
Kansas,2934582
New Mexico,2115877
Nebraska,1963692
Idaho,1900923
West Virginia,1782959
Hawaii,1441553
New Hampshire,1388992
Maine,1372247
Montana,1104271
Rhode Island,1095610
Delaware,1003384
South Dakota,895376
North Dakota,774948
Alaska,732673
Vermont,645570
Wyoming,578803
